danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0.548,0.816,0,-4.209,1,0.0465,0.122,0.0,0.335,0.557,95.39,174000,4
0.574,0.721,1,-4.363,0,0.158,0.00857,0.0,0.106,0.189,127.959,198966,4
0.771,0.665,2,-8.135,0,0.0413,0.0105,0.00641,0.0841,0.194,122.988,187317,4
0.684,0.755,7,-6.585,1,0.101,0.00852,0.0,0.334,0.237,119.957,187000,4
0.824,0.539,1,-6.929,1,0.421,0.0854,0.0,0.303,0.338,127.691,171154,4
0.586,0.616,5,-7.964,1,0.0324,0.182,0.0,0.0927,0.719,148.088,242096,4
0.766,0.706,7,-6.553,0,0.16,0.223,0.00028,0.064,0.766,142.989,172598,4
0.378,0.558,7,-8.821,1,0.0302,0.000497,3.99e-05,0.164,0.168,88.015,199297,4
0.591,0.585,2,-6.35,1,0.0276,0.143,0.0,0.109,0.323,110.943,205473,4
0.659,0.615,11,-5.865,0,0.0644,0.27,0.0,0.187,0.193,119.843,164010,4
0.739,0.588,8,-4.971,1,0.136,0.00308,0.0,0.109,0.774,109.958,164457,4
0.626,0.56,0,-5.82,0,0.0288,0.148,1.51e-05,0.109,0.229,93.989,244005,4
0.586,0.587,0,-6.535,1,0.046,0.335,0.0,0.0513,0.692,171.912,161955,4
0.664,0.884,3,-4.433,1,0.0885,0.304,0.0,0.0745,0.483,120.034,179397,4
0.749,0.674,10,-5.128,0,0.0366,0.0209,0.0,0.169,0.711,123.055,153865,4
0.655,0.89,11,-3.826,0,0.038,0.0698,0.00135,0.104,0.337,115.977,171724,4
0.68,0.821,0,-3.77,1,0.041,0.0956,0.00315,0.0826,0.571,105.986,173266,4
0.829,0.512,6,-5.865,0,0.187,0.492,0.0,0.12,0.638,80.511,123987,4
0.848,0.768,6,-5.386,0,0.0373,0.0412,0.000785,0.195,0.777,118.961,176767,4
0.77,0.636,1,-5.787,0,0.0609,0.0811,1.87e-06,0.111,0.383,122.072,154426,4
0.695,0.573,6,-5.945,0,0.0676,0.285,1.86e-05,0.291,0.629,161.963,159259,4
0.653,0.524,11,-9.016,0,0.0502,0.112,0.0,0.203,0.553,83.97,160191,4
0.671,0.547,1,-7.6,1,0.0313,0.0799,0.0,0.0723,0.347,107.941,151111,4
0.664,0.699,11,-7.115,0,0.27,0.0352,0.0,0.0612,0.252,122.019,216256,4
0.783,0.435,7,-7.78,1,0.0588,0.282,0.0,0.0833,0.512,106.974,210220,4
0.615,0.701,0,-4.257,1,0.0472,0.00302,0.0,0.0471,0.251,98.073,193543,4
0.66,0.856,5,-5.079,1,0.0908,0.0203,0.0,0.131,0.149,128.072,186219,4
0.824,0.862,2,-3.424,1,0.126,0.0076,0.000132,0.303,0.801,122.98,169153,4
0.721,0.565,0,-9.157,0,0.28,0.248,0.0,0.284,0.597,93.8,227234,4
0.653,0.689,4,-8.095,0,0.0392,0.264,0.000112,0.505,0.423,109.97,178909,4
0.657,0.851,8,-7.976,0,0.126,0.0583,0.000978,0.162,0.368,124.048,143226,4
0.823,0.544,5,-7.132,1,0.0715,0.0215,0.00315,0.0966,0.664,149.903,186088,4
0.677,0.633,7,-7.831,1,0.0771,0.0314,0.0,0.112,0.409,89.934,187239,4
0.829,0.816,11,-5.294,0,0.105,0.0235,0.234,0.174,0.581,124.977,203520,4
0.649,0.76,1,-6.487,1,0.0574,0.114,0.0,0.317,0.843,80.018,161853,4
0.75,0.664,8,-5.908,0,0.154,0.275,0.0,0.0632,0.617,105.023,208156,4
0.752,0.606,9,-7.162,0,0.0912,0.207,1.26e-06,0.152,0.409,93.024,244720,4
0.734,0.809,10,-5.506,0,0.116,0.1,3.46e-05,0.101,0.447,123.994,195595,4
0.573,0.656,7,-8.245,1,0.471,0.0379,0.0,0.126,0.452,85.068,124032,4
0.661,0.661,0,-5.679,0,0.0565,0.0376,1.85e-06,0.176,0.5,115.006,159652,4
0.781,0.67,3,-3.912,0,0.0452,0.0103,0.0,0.0761,0.595,127.99,169333,4
0.713,0.813,3,-5.095,0,0.122,0.0506,0.000659,0.201,0.647,121.904,155000,4
0.525,0.452,7,-10.914,1,0.0295,0.00363,0.834,0.164,0.0395,73.299,220703,4
0.673,0.713,3,-7.04,1,0.0423,0.0927,0.000197,0.141,0.169,119.992,194934,4
0.845,0.766,2,-5.727,0,0.0658,0.212,0.0,0.111,0.782,114.054,195924,4
0.695,0.656,1,-6.038,1,0.0489,0.057,0.0,0.267,0.346,90.986,213842,4
0.693,0.674,5,-4.449,1,0.0723,0.185,0.0,0.0639,0.378,95.972,160998,4
0.695,0.639,7,-6.897,0,0.153,0.107,0.000657,0.118,0.344,90.027,189493,4
0.758,0.913,6,-2.926,0,0.113,0.00364,6.92e-05,0.193,0.658,128.04,186210,4
0.84,0.766,4,-4.12,1,0.136,0.00302,3.61e-06,0.0684,0.402,94.018,155884,4
0.749,0.82,7,-6.114,1,0.0478,0.0205,0.000685,0.0775,0.534,120.066,197573,4
0.61,0.508,8,-6.682,0,0.152,0.297,0.0,0.384,0.758,178.818,137876,4
0.734,0.874,8,-3.158,1,0.0662,0.168,1.14e-05,0.0489,0.905,122.953,166028,4
0.85,0.57,9,-11.154,1,0.231,0.159,0.0,0.058,0.451,102.025,169464,1
0.674,0.774,11,-7.567,0,0.0892,0.0686,0.00188,0.393,0.33,112.05,176547,4
0.839,0.867,0,-2.036,1,0.046,0.0136,0.00164,0.119,0.322,126.05,112154,4
0.664,0.66,5,-4.646,1,0.0243,0.512,0.0,0.26,0.355,99.946,221466,4
0.702,0.825,6,-3.787,0,0.0601,0.00883,0.0,0.0674,0.915,102.977,203064,4
